ISO_Code,Year,RGDP Per Capita Lag
ZAF,2014-01-01,11993.0
ESP,2014-01-01,31527.0
LKA,2014-01-01,9826.0
SDN,2014-01-01,3432.0
SUR,2014-01-01,
SWZ,2014-01-01,7814.0
SWE,2014-01-01,42245.0
CHE,2014-01-01,61320.0
SYR,2014-01-01,4753.0
TWN,2014-01-01,39528.0
TJK,2014-01-01,3297.0
TZA,2014-01-01,2208.0
THA,2014-01-01,13895.0
TLS,2014-01-01,
TGO,2014-01-01,1426.0
TTO,2014-01-01,31166.0
TUN,2014-01-01,10503.0
TUR,2014-01-01,19370.0
UGA,2014-01-01,1841.0
UKR,2014-01-01,10993.0
ARE,2014-01-01,71240.0
GBR,2014-01-01,37702.0
USA,2014-01-01,50863.0
URY,2014-01-01,18778.0
VEN,2014-01-01,18795.0
VNM,2014-01-01,5135.0
YEM,2014-01-01,3847.0
ZMB,2014-01-01,3474.0
ZWE,2014-01-01,1801.0
ALB,2013-01-01,10344.0
DZA,2013-01-01,13242.0
AGO,2013-01-01,8074.0
ARG,2013-01-01,19841.0
ARM,2013-01-01,8827.0
AUS,2013-01-01,44871.0
AUT,2013-01-01,43052.0
AZE,2013-01-01,16407.0
BHS,2013-01-01,
BHR,2013-01-01,40384.0
BGD,2013-01-01,2697.0
BRB,2013-01-01,10475.0
BLR,2013-01-01,18564.0
BEL,2013-01-01,38907.0
BLZ,2013-01-01,
BEN,2013-01-01,1906.0
BTN,2013-01-01,
BOL,2013-01-01,5548.0
BIH,2013-01-01,9388.0
BWA,2013-01-01,13285.0
BRA,2013-01-01,14702.0
BRN,2013-01-01,
BGR,2013-01-01,15757.0
BFA,2013-01-01,1487.0
BDI,2013-01-01,729.0
KHM,2013-01-01,2643.0
CMR,2013-01-01,2568.0
CAN,2013-01-01,41615.0
CPV,2013-01-01,6351.0
CAF,2013-01-01,925.0
TCD,2013-01-01,1806.0
CHL,2013-01-01,20687.0
CHN,2013-01-01,10654.0
COL,2013-01-01,12078.0
COD,2013-01-01,710.0
COG,2013-01-01,5412.0
CRI,2013-01-01,12397.0
CIV,2013-01-01,2892.0
HRV,2013-01-01,20523.0
CYP,2013-01-01,27174.0
CZE,2013-01-01,26924.0
DNK,2013-01-01,43697.0
DOM,2013-01-01,11936.0
ECU,2013-01-01,10342.0
EGY,2013-01-01,10736.0
SLV,2013-01-01,7782.0
EST,2013-01-01,23756.0
ETH,2013-01-01,1284.0
FJI,2013-01-01,
FIN,2013-01-01,38865.0
FRA,2013-01-01,36773.0
GAB,2013-01-01,14665.0
GMB,2013-01-01,1781.0
GEO,2013-01-01,9241.0
DEU,2013-01-01,43198.0
GHA,2013-01-01,3691.0
GRC,2013-01-01,23898.0
GTM,2013-01-01,6643.0
GIN,2013-01-01,1404.0
GNB,2013-01-01,1283.0
GUY,2013-01-01,
HTI,2013-01-01,1600.0
HND,2013-01-01,4418.0
HKG,2013-01-01,44716.0
HUN,2013-01-01,20945.0
ISL,2013-01-01,37721.0
IND,2013-01-01,4974.0
IDN,2013-01-01,9144.0
IRN,2013-01-01,15734.0
IRQ,2013-01-01,12408.0
IRL,2013-01-01,48120.0
ISR,2013-01-01,29852.0
ITA,2013-01-01,35142.0
JAM,2013-01-01,6972.0
JPN,2013-01-01,35143.0
JOR,2013-01-01,12083.0
KAZ,2013-01-01,21947.0
KEN,2013-01-01,2815.0
KOR,2013-01-01,32485.0
KWT,2013-01-01,82954.0
KGZ,2013-01-01,3959.0
LAO,2013-01-01,4978.0
LVA,2013-01-01,19812.0
LBN,2013-01-01,15903.0
LSO,2013-01-01,2588.0
LBR,2013-01-01,800.0
LBY,2013-01-01,29766.0
LTU,2013-01-01,22259.0
LUX,2013-01-01,57873.0
MKD,2013-01-01,11748.0
MDG,2013-01-01,1356.0
MWI,2013-01-01,1005.0
MYS,2013-01-01,20203.0
MLI,2013-01-01,1412.0
MLT,2013-01-01,24000.0
MRT,2013-01-01,3095.0
MUS,2013-01-01,16810.0
MEX,2013-01-01,15203.0
