ISO_Code_3,Year,Summary,Size of Government,Legal System and Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
POL,2001,6.387055658816911,5.351969599634496,5.777625683542234,7.5696634968531455,6.618101262311308,6.5646610020195455
PRT,2001,7.529951807993519,6.148313930676512,7.067779000526056,9.563086186645238,9.05510835912082,5.881390092061215
ROU,2001,5.708320877883205,7.216780236766664,5.043114893016147,4.33721296766472,6.017437343248103,5.972489066628933
RUS,2001,5.040527357704215,6.7047736802571105,4.775040536945111,3.0072319613814877,5.610759778423727,5.129436609954795
RWA,2001,5.711049988785082,5.743794851399269,4.352838949686203,7.57091333863638,4.676757245013378,6.364124181651939
SEN,2001,5.701377873575962,7.041642639829922,3.515927768345272,7.259189555839996,5.814910024517109,4.92212993231553
SLE,2001,4.685540322275057,6.597879567765761,3.4804725865253023,6.373793380962606,2.8761055490751777,4.070491227729905
SGP,2001,8.558946111763582,7.078513572472382,8.470087136653067,9.543550766667645,9.484533080021027,8.23347504741859
SVK,2001,6.718977518564721,6.025270153363393,5.773138371872103,8.050065989742333,7.367715170488607,6.408290513499986
SVN,2001,6.960015872940699,5.401944618961861,6.19289356761942,8.86618418307735,7.893738474075227,6.406070703742758
ZAF,2001,7.650336385795959,9.577377515437673,6.077932951745896,7.974112507733517,7.264113358321147,7.3977750529310145
ESP,2001,7.859686263030795,6.866956817124011,7.028803186613954,9.491669091860961,8.697445032695343,7.2257891999686725
LKA,2001,6.440693218460474,7.9512166545774,4.6796521099012836,6.132676558170612,7.197067495230757,6.246734624238409
SWE,2001,7.729685804288181,4.587633033245451,8.303008633276637,9.62119268371608,8.934393205317557,7.176138019532556
CHE,2001,8.719582338902148,7.935715725579573,8.784769708293119,9.879064137355018,9.254674818528713,7.754617962828318
SYR,2001,5.476047547956038,5.961240473012552,3.4221153686675745,7.709568184861182,4.015619327439453,6.563708715555006
TWN,2001,7.089631402405418,6.622091450767226,5.6103521073234015,9.537880247070667,7.66478052330024,5.9076900930638425
TZA,2001,6.218894813536878,7.3350952674745455,5.228466939401853,7.345380080944035,5.824092478580942,5.425207853781906
THA,2001,6.480522040872163,7.082324631532739,5.870345171784208,6.742804860498285,6.533669794686099,6.2074218706096005
TGO,2001,5.332846488685897,8.051571369759827,2.6120066462342786,6.695137908301037,5.1828311720278455,4.062710944857415
TTO,2001,7.319305094468336,6.954640489821575,5.039458698767625,8.976648037433494,8.00690206195788,7.608064550483244
TUN,2001,6.498279795138582,7.040247678732915,5.140570643700309,7.0036224298829834,6.515784591563998,6.828242948076526
TUR,2001,5.582265538957521,7.020530057300728,5.002914241351303,3.5938613404699513,7.256054027257111,5.163346002338211
UGA,2001,6.7654244725991175,6.635398623616109,3.8573239819780274,9.308123850587318,7.18704110849808,6.833877974655051
UKR,2001,5.066779083796007,5.913316993261797,4.308616499207817,4.423947262870602,5.754346066047224,4.976793313065629
ARE,2001,6.962193587469268,5.774042720572447,4.624723828792491,7.896899747250596,8.619641071493282,7.871184624473298
GBR,2001,8.508987257181568,6.861467540765931,8.467307317432782,9.534175192431467,9.251954341828718,8.411200590091894
USA,2001,8.509072232492953,7.521318986078203,8.615158033493717,9.612028198669831,8.397002455090286,8.464018599482392
URY,2001,7.051113131111247,6.785500289107595,5.754664339389731,8.59436184464466,8.133337333563878,5.984145659108346
VEN,2001,6.265572767477949,6.587672289970817,3.726958669245308,7.508135331527801,8.0139083358203,5.435154338909156
ZMB,2001,6.731568693230798,7.0526387085901865,5.20062300177153,7.346283798505799,7.6491279989148735,6.333336211028842
ZWE,2001,4.250145573599229,6.079517606340779,3.7163218858340823,3.628221794277288,3.452873459640517,4.289544828723746
