Country Name,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Kyrgyz Republic,89.0,19.0,61.1,50.9,17.2,30.3,93.7,55.2,78.9,73.7,79.8,68.5,75.3,60.0,50.0,2.3,10.0,10.0,20.8,39.1,5.8,20.1,3.5,4.5,3363,8.2,6.5,404.5,68.8
Lao P.D.R.,133.0,31.0,54.0,35.3,35.9,32.6,86.1,76.6,61.2,66.3,54.4,70.2,74.6,35.0,20.0,5.2,24.0,24.0,15.5,26.2,7.0,37.3,7.0,7.7,5309,1.6,5.3,1219.8,64.3
Latvia,20.0,11.0,74.8,72.6,59.7,67.3,84.7,57.4,95.0,79.8,72.0,86.5,87.0,75.0,60.0,1.5,23.0,15.0,27.8,37.7,2.0,49.1,2.7,3.7,24712,9.8,0.2,643.5,34.8
Lebanon,137.0,11.0,53.3,43.8,25.3,23.3,91.8,76.1,0.0,51.5,49.5,78.4,84.4,65.0,50.0,2.8,20.0,15.0,13.8,28.5,4.6,83.1,1.0,1.8,18240,7.1,-3.7,2341.0,139.1
Lesotho,134.0,26.0,53.9,51.6,50.9,39.6,55.7,0.0,92.2,52.2,57.7,76.4,80.2,50.0,40.0,2.4,35.0,25.0,50.8,59.3,1.9,5.8,2.5,3.9,2987,27.5,4.8,169.0,60.0
Liberia,161.0,38.0,49.1,33.6,41.0,31.4,83.6,60.1,36.2,53.1,48.5,71.8,60.1,50.0,20.0,6.1,25.0,25.0,19.7,44.5,4.3,3.7,0.0,5.0,873,4.2,7.7,512.3,40.0
Lithuania,16.0,8.0,75.8,73.0,62.4,69.7,86.9,64.1,93.6,79.1,63.6,90.0,87.0,70.0,70.0,1.5,15.0,15.0,29.3,34.9,2.9,82.4,1.6,3.6,28359,9.5,-0.7,863.4,42.5
Luxembourg,14.0,6.0,75.9,85.8,77.0,78.3,64.5,46.0,99.0,68.6,43.8,86.2,87.0,95.0,80.0,1.5,42.0,19.0,37.8,41.5,0.6,55.7,4.5,2.9,98987,5.9,0.1,24595.8,21.8
Macau,32.0,8.0,70.7,60.0,60.0,37.1,72.3,92.8,100.0,60.0,50.0,70.8,90.0,85.0,70.0,0.0,12.0,39.0,33.2,18.8,0.6,65.4,-20.3,4.2,98135,1.8,4.6,3907.1,0.0
Macedonia,31.0,18.0,70.7,67.0,61.4,52.0,91.9,68.9,72.6,81.5,66.7,80.8,86.1,60.0,60.0,2.0,10.0,10.0,24.6,33.1,2.1,29.0,3.7,2.4,14009,26.9,-0.2,174.2,38.6
