State,Year,EFW,GDP,Population,GDP Per Capita,Log GDP,GDP % Growth,Log Population,Population % Growth,Log GDP Per Capita,GDP Per Capita % Growth,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,TotalTax,TotalTax/GDP
OK,1995,8.27,,,,,,,,,,0.0,1143.583,57.344,12.914,146.346,386.705,3.241,14.67,75.974,9.892,3.536,3.743,37.488,15.335,460.841,5.764,0.005,48.034,0.336,1416.921,166.746,70.666,5.968,309.553,20.858,4477.092,
OR,1995,8.38,,,,,,,,,,0.193,0.0,24.044,0.068,32.426,362.219,2.173,8.573,117.067,0.0,1.757,2.019,4.59,22.043,277.265,14.947,8.305,171.158,2.182,2797.575,312.001,26.014,21.572,77.847,0.0,4352.348,
PA,1995,8.35,,,,,,,,,,228.995,5550.29,146.762,0.38,422.89,776.477,20.164,687.492,343.086,705.844,14.319,0.065,959.058,43.001,493.305,50.952,42.922,260.903,8.071,4929.522,1784.579,563.093,207.519,0.0,22.45,18541.714000000004,
RI,1995,8.25,,,,,,,,,,8.223,456.61,8.562,0.0,34.3,123.517,7.175,66.793,51.388,20.311,0.247,0.245,9.91,1.539,53.991,0.363,0.0,17.884,1.023,530.406,82.16,12.155,3.477,0.0,0.061,1513.2089999999998,
SC,1995,8.45,,,,,,,,,,14.297,1794.12,113.436,26.531,72.891,317.267,0.0,36.009,30.145,79.991,10.777,35.325,33.809,12.924,91.619,13.282,0.0,96.396,32.789,1655.954,250.214,26.98,18.341,0.0,0.0,4831.67,
SD,1995,8.48,,,,,,,,,,0.0,358.879,9.682,0.042,31.13,88.619,0.483,1.536,15.2,32.145,0.26,0.131,0.791,12.35,29.344,1.99,0.0,37.581,5.207,0.0,39.914,22.427,0.121,6.205,0.0,708.9240000000001,
TN,1995,8.49,,,,,,,,,,0.0,3360.568,65.103,0.0,209.662,720.409,0.0,5.567,85.812,117.06,1.634,0.0,278.658,18.138,197.45,36.251,4.939,64.29,1.828,101.511,493.072,44.482,76.016,0.903,24.368,6013.616000000001,
TX,1995,8.4,,,,,,,,,,0.0,10274.777,406.696,21.462,633.457,2236.75,13.182,240.746,638.943,1970.322,24.249,6.531,1479.48,49.635,744.547,69.796,7.905,393.055,15.542,0.0,0.0,171.606,0.0,890.093,0.0,20669.898,
UT,1995,8.44,,,,,,,,,,0.0,1066.552,18.002,0.0,42.823,202.705,0.0,0.0,28.491,0.0,0.756,0.0,3.268,13.179,47.826,9.585,0.0,15.568,8.941,1024.072,147.374,24.956,0.0,21.404,0.0,2710.218,
VT,1995,8.39,,,,,,,,,,9.635,173.644,13.45,0.0,18.998,57.542,0.028,8.815,14.754,107.142,0.41,0.14,1.119,4.918,38.614,3.67,0.0,13.534,2.153,250.283,48.274,9.748,13.32,0.0,11.185,813.626,
VA,1995,8.45,,,,,,,,,,19.672,1920.623,107.248,0.058,208.225,679.151,0.0,107.004,15.96,406.922,6.45,0.003,25.387,19.244,279.192,22.933,0.0,72.335,4.155,4315.545,367.832,77.676,84.046,1.8,42.478,8937.973999999997,
WA,1995,8.31,,,,,,,,,,1686.091,6047.504,127.354,0.011,205.638,661.934,3.412,214.393,218.608,156.482,8.554,0.151,9.96,31.219,232.684,22.675,14.155,137.533,25.265,0.0,0.0,41.972,252.213,97.776,0.0,10321.461,
WV,1995,8.32,,,,,,,,,,2.336,793.465,7.92,0.0,71.374,207.497,6.625,209.222,34.008,130.056,9.622,0.0,5.938,14.724,84.448,3.369,12.533,18.111,1.92,709.923,218.686,8.513,4.861,176.756,0.0,2764.883,
WI,1995,8.36,,,,,,,,,,61.537,2571.854,39.584,0.566,103.741,656.525,6.561,285.482,183.835,0.0,0.265,0.164,9.062,48.049,219.004,20.932,0.014,127.658,11.294,3932.948,670.891,40.784,28.655,2.255,7.828,9140.754999999997,
WY,1995,8.36,,,,,,,,,,86.363,208.026,1.09,0.0,13.503,43.223,0.244,0.0,6.076,0.0,0.007,0.0,4.397,19.004,41.014,2.295,1.783,2.659,0.394,0.0,0.0,3.282,0.0,233.365,0.0,676.906,
AL,2000,8.53,120132.9,,,11.696353908938486,,,,,,179.828,1701.885,123.164,0.113,190.75,505.36,3.723,482.87,66.431,154.149,2.365,0.0,179.169,14.298,191.195,15.824,9.25,129.486,0.058,2071.433,243.099,66.763,26.487,80.738,0.0,10885.537999999999,0.09061246336349159
AK,2000,8.29,26815.8,,,10.196746545020106,,,,,,44.608,0.0,12.655,2.335,29.064,42.137,0.0,3.235,48.309,0.0,1.301,0.002,1.639,19.004,35.568,0.0,0.317,33.704,0.126,0.0,438.438,2.455,0.0,708.39,0.0,2050.219,0.07645563436481478
AZ,2000,8.55,164609.9,,,12.01133371122444,,,,,,296.706,3632.686,50.923,0.677,164.732,592.518,2.545,36.563,162.896,0.0,2.381,0.07,6.353,15.864,152.555,14.958,0.0,57.91,10.097,2291.883,523.182,85.238,0.0,0.0,0.0,13231.368999999999,0.08038015332006154
AR,2000,8.44,68740.4,,,11.138092369415116,,,,,,481.893,1706.645,28.845,0.0,94.659,388.625,6.641,0.0,92.856,44.612,1.605,1.789,9.408,19.665,117.647,15.501,10.806,77.322,5.638,1470.012,236.969,23.821,16.861,14.558,4.183,7543.961,0.10974566630394936
CA,2000,8.44,1366166.5,,,14.127519200411253,,,,,,3330.868,23457.385,282.165,0.0,1299.777,3041.37,45.563,218.994,1216.646,58.297,34.275,4.914,37.355,74.553,1763.623,153.359,72.231,1538.293,12.035,39574.649,6638.762,928.148,0.0,24.697,0.0,117679.60699999999,0.08613855412206345
